,store_id,store_name,business_hours,address,url
0,00000001,窯焼きバルカフェ らんぷ+k,"営業時間
【月・水・木】11:30~14:00   17:00~23:00【金】11:30~14:00   17:00~24:00【土日】11:30~24:00【祝日】11：30～23：00
日曜営業
定休日
火曜日(祝日の場合は翌水曜日がお休みになります)",東京都墨田区業平1-22-5 102,https://tabelog.com/tokyo/A1312/A131203/13208347/
1,00000002,両国テラスカフェ,"営業時間
月-金LUNCH / 11:30～15:30（l.o.14:30）DINNER / 17:30～21:30（l.o.20:30）土日祝LUNCH / 11:30～15:30（l.o.14:30）DINNER / 17:00～21:00（l.o.20:00）
日曜営業
定休日
無休",東京都墨田区横網1-12-21,https://tabelog.com/tokyo/A1312/A131201/13179089/
2,00000003,アダジオ カフェ,"営業時間
[月～木］10:30〜19:00［金］10:30~19:00アラカルトのみ※コース予約の状況により閉店時間異なります。17:00~22:00コース料理のみ［土・日・祝］10:00~18:00アラカルトのみ※コース予約の状況により閉店時間異なります。17:00~22:00コース料理のみコース予約は2日前までにご予約お願いいたします。
日曜営業
定休日
火曜日　木曜日",東京都墨田区向島1-7-8 菊地ビル 1F,https://tabelog.com/tokyo/A1312/A131203/13249873/
3,00000004,Park Cafe Diner,"営業時間
11:30～22:00(L.O.21:00)テイクアウトも上記同じ時間ビアガーデン営業時間※2023終了。ビアガーデン開始は2024／6開催予定。※金土日のみ17:00~21:30(L.O.20:30)
日曜営業
定休日
火曜日（年末年始12/29ランチ営業のみ。1/5より通常営業開始。",東京都墨田区横川1-1-10 すみだパークプレイス2 6F,https://tabelog.com/tokyo/A1312/A131203/13279795/
4,00000005,カフェハチフク,"営業時間
【月・土・日】9:00～18:00L.O【火・木・金】11:00～19:30L.O【祝】11:00～18:00L.O※22:00(21:30 L.O)まで営業のご予約もございます
日曜営業
定休日
水曜日",東京都墨田区押上1-32-5 イデアス押上 1F,https://tabelog.com/tokyo/A1312/A131203/13271140/
5,00000006,玉ノ井cafe TRACE,"営業時間
［火曜日-木曜日］　　10:00～20:00（L.O19:30）［金曜日-日曜日］　10:00〜22:00（L.O21:30）
日曜営業
定休日
月曜日",東京都墨田区東向島5-27-4,https://tabelog.com/tokyo/A1312/A131203/13286537/
6,00000007,ミカド,"営業時間
11:00～16:00
定休日
土曜日、日曜日、祝日、不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区江東橋3-6-10,https://tabelog.com/tokyo/A1312/A131201/13088726/
7,00000008,ナナズグリーンティー 錦糸町パルコ店,"営業時間
[月～日]11:00～21:00(L.O.20:30)
日曜営業
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区江東橋4-27-14 錦糸町パルコ 6F,https://tabelog.com/tokyo/A1312/A131201/13234488/
8,00000009,ナナズ グリーン ティー 錦糸町テルミナ店,"営業時間
10:00～21:00
定休日
不定休(錦糸町テルミナの営業に準ずる)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区江東橋3-14-5 錦糸町テルミナ 4F,https://tabelog.com/tokyo/A1312/A131201/13130699/
9,00000010,ロジェ,,東京都墨田区錦糸3-4-5,https://tabelog.com/tokyo/A1312/A131201/13131981/
10,00000011,ホソミー ファクトリー,"営業時間
[月・火・木～土]10:00～19:00[日]10:00～20:00
日曜営業
定休日
水曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区吾妻橋2-1-13 ハイツ１５ １Ｆ,https://tabelog.com/tokyo/A1312/A131203/13112486/
11,00000012,タリーズコーヒー 東武曳舟店,,東京都墨田区東向島2-26-6 EQUiA曳舟 1Ｆ,https://tabelog.com/tokyo/A1312/A131203/13206926/
12,00000013,カフェ ラミル アルカキット錦糸町店,"営業時間
10:00～21:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区錦糸2-2-1 アルカキット錦糸町 2F,https://tabelog.com/tokyo/A1312/A131201/13249979/
13,00000014,スターバックスコーヒー 東京スカイツリー・ソラマチ東6階店,"営業時間
10:00～23:00
定休日
不定休(東京ソラマチの営業に準ずる)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区押上1-1-2 東京ソラマチ 6F,https://tabelog.com/tokyo/A1312/A131203/13141310/
14,00000015,Marked,"営業時間
[水～金]12:00～16:00[土・日・祝]9:00～18:00
日曜営業
定休日
月曜日、火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区本所1-1-10,https://tabelog.com/tokyo/A1311/A131103/13262108/
15,00000017,シロウマ,"営業時間
8:00～19:30（L.O 19:00）
日曜営業
定休日
用事がある時以外無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区業平5-14-6,https://tabelog.com/tokyo/A1312/A131203/13106996/
16,00000018,ジロー,,東京都墨田区東向島2-31-19,https://tabelog.com/tokyo/A1312/A131203/13076021/
17,00000019,喫茶 マウンテン,"営業時間
[月・水・木・金・日]8:00～18:00[土・祝]8:00～17:00
日曜営業
定休日
火曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区錦糸2-3-8,https://tabelog.com/tokyo/A1312/A131201/13047922/
18,00000020,Stranger Cafe,"営業時間
9:00〜22:00(L.O)
日曜営業
定休日
不定休",東京都墨田区菊川3-7-1 菊川会館ビル,https://tabelog.com/tokyo/A1312/A131201/13276687/
19,00000021,サンマルクカフェ 両国西口店,"営業時間
7:00～22:30
日曜営業
定休日
無休",東京都墨田区両国2-19-1 両国ビューホテル 1F,https://tabelog.com/tokyo/A1312/A131201/13142853/
20,00000022,スターバックスコーヒー 錦糸町テルミナ2店,"営業時間
7：00～22：30
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区錦糸1-2-47 テルミナ2,https://tabelog.com/tokyo/A1312/A131201/13125430/
21,00000023,スカイツリーカフェ フロア350,"営業時間
10:00～20:45 (L.O.20:15)
日曜営業
定休日
強風時・天候不良時",東京都墨田区押上1-1-2 天望デッキ フロア350,https://tabelog.com/tokyo/A1312/A131203/13141569/
22,00000024,タリーズコーヒー 東京スカイツリータウン・ソラマチ店,"営業時間
10:00～21:00
定休日
不定休(東京ソラマチの営業に準ずる)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区押上1-1-2 東京ソラマチ 3F,https://tabelog.com/tokyo/A1312/A131203/13141279/
23,00000026,el coffee,"営業時間
[火～日]9:00～18:00
日曜営業
定休日
月曜日",東京都墨田区横川4-8-23 1F,https://tabelog.com/tokyo/A1312/A131203/13284662/
24,00000027,タリーズコーヒー 錦糸町アルカアウエスト店,,東京都墨田区錦糸1-2-4 アルカウエスト 2F,https://tabelog.com/tokyo/A1312/A131201/13086695/
25,00000028,星乃珈琲店 錦糸町駅前店,"営業時間
8:00～22:00
日曜営業
定休日
無休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区江東橋3-13-6 ヒューリック錦糸町駅前ビル 2F,https://tabelog.com/tokyo/A1312/A131201/13200678/
26,00000029,コメダ珈琲店 丸井錦糸町店,"営業時間
8:30～21:00
定休日
不定休
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区江東橋3-9-10 丸井錦糸町店 2F,https://tabelog.com/tokyo/A1312/A131201/13157107/
27,00000030,カフェギーゾ,"営業時間
12:00～20:30　ランチ12:00～14:00（L.O.13:30）
定休日
日曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区東向島3-35-7,https://tabelog.com/tokyo/A1312/A131203/13119122/
28,00000031,ル・モンド,"営業時間
[火～日]9:00～20:3019：30(L.O)モーニング　9:00～11:00ランチ　　　11:30～15:00
日曜営業
定休日
毎週月曜日",東京都墨田区江東橋3-14-10,https://tabelog.com/tokyo/A1312/A131201/13088920/
29,00000032,パンダジュース,"営業時間
12:00～18:00
日曜営業
定休日
水曜日
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区業平1-22-4 パークマンション１F,https://tabelog.com/tokyo/A1312/A131203/13173100/
30,00000033,タリーズコーヒー 錦糸町テルミナ店,"営業時間
10:00～21:00
日曜営業
定休日
不定休(錦糸町テルミナに準ずる)
営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。",東京都墨田区江東橋3-14-5 錦糸町テルミナ 4F,https://tabelog.com/tokyo/A1312/A131201/13188652/
